,klant,eigenaar,product_soort,locatie,kwaliteit,klantaanduiding,batch_nummer,batch_volg_nummer,kl_lengte,klant_breedte,klant_dikte,lm_lengte_,lm_breedte,lm_dikte,administratief_gewicht,aantal_stuks,totaal_gealloceerd,coil_nummer_leverancier,klantreferentie,attest_nummer,eerste_charge_nummer,verkoop_order_nummer,omschrijving,binnendiam_coil,buitendiam_coil,binnenbreedte_coil,buitenbreedte_coil,tekst,aanvoerdatum,laatste_transactie,werkbonnummer,bewerking,STATUS,lijst_van_bewerk,werkbonnummer2,bewerking3,STATUS4,lijst_van_bewerk5,laadlijstnummer,geolied,gebeitst,bezoomd,materiaal_status,afroep_referentie,leverdatum,afleveradres,verpakking,Gestempeld,a_nummer,gekoppeld_aan_afroep,bewerking_referentie,coilnummer_leverancier
3694,Anthony Rodriguez,Michael Carrillo,PLAAT,LA09,S355M,S355MC,J7353,4.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,8042,1750143,363573517,50321,5,810.0,2010.0,1531.0,1531.0,2091624,2020-03-09,2020-04-28,933,,,,7,DECOILEN,3,DE,782,0.0,0.0,1.0,,,,"84038 Jim Forks
Allenshire, IN 76336",PACKA,0.0,526979,,524758733,5793
3695,Tina Eaton MD,Franklin Valentine,PLAAT,LA09,S355M,S355MC,J7353,5.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,3,31,8848272,43578419,160097,810.0,2010.0,1531.0,1531.0,2364,2020-03-09,2020-04-28,19139,,,,92242192,DECOILEN,3,DE,4261,0.0,0.0,1.0,,,,"762 Christine Ways Suite 330
Wilsonfort, WA 75658",PACKA,0.0,1877982,,12,747822
3696,Emily Knight,Adriana Nunez,PLAAT,LA08,S355M,S355MC,J7353,6.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,4,644033625,776,9478971,550689127,810.0,2010.0,1531.0,1531.0,1010010,2020-03-09,2020-03-09,594173,,,,708,DECOILEN,3,DE,540358825,0.0,0.0,1.0,,,,"982 Wood Run
Lopezborough, ID 56721",PACKA,0.0,7,,50204771,0
3697,James Collins,Katelyn Luna,PLAAT,LA08,S355M,S355MC,J7353,7.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,43482861,18714,20259057,4149,7,810.0,2010.0,1531.0,1531.0,566083869,2020-03-09,2020-03-09,9355,,,,20764,DECOILEN,3,DE,3,0.0,0.0,1.0,,,,"616 Goodman Village
Thompsonborough, PR 05133",PACKA,0.0,5435012,,32685,82534
3698,Alexander Smith,Manuel White,PLAAT,LA08,S355M,S355MC,J7353,8.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,8142121,76828378,9,3458871,36,810.0,2010.0,1531.0,1531.0,836720252,2020-03-09,2020-03-09,2,,,,660,DECOILEN,3,DE,567635,0.0,0.0,1.0,,,,"40917 Patrick Flats Suite 157
Wolfechester, DE 93668",PACKA,0.0,632184408,,33,2649
3699,Jessica Carr,Jennifer Caldwell,PLAAT,LA09,S355M,S355MC,J7353,9.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,697,6919,80,60881356,518,810.0,2010.0,1531.0,1531.0,16,2020-03-09,2020-04-28,955578125,,,,94,DECOILEN,3,DE,347,0.0,0.0,1.0,,,,"48353 Christine Trail
Schaeferbury, AL 80350",PACKA,0.0,9,,312338480,5
3700,Benjamin Davis,Victoria Singh,PLAAT,LA09,S355M,S355MC,J7353,10.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,5192318,8761,5374729,37,1062,810.0,2010.0,1531.0,1531.0,831090,2020-03-09,2020-04-28,5086,,,,61529,DECOILEN,3,DE,303018207,0.0,0.0,1.0,,,,"002 Christopher Dam Suite 370
Wilsonfurt, WA 64614",PACKA,0.0,935,,337,7630
3701,Rachel Blair,Chelsea Olson,PLAAT,LA08,S355M,S355MC,J7353,11.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2513,68",7,,53403-01,7,843,30261,804731792,167466,810.0,2010.0,1531.0,1531.0,93,2020-03-09,2020-03-09,3,,,,519807876,DECOILEN,3,DE,3884,0.0,0.0,1.0,,,,"6936 Mcgrath Islands Suite 130
Morrismouth, PW 77474",PACKA,0.0,16,,5,238
3702,Amanda Davis,Joshua Harper,PLAAT,LA08,S355M,S355MC,J7353,12.0,3000.0,1500.0,10,3000.0,1500.0,"10,03","2154,53",6,,53403-01,2533,995488,340915,6,2881,810.0,2010.0,1531.0,1531.0,47051928,2020-03-09,2020-03-09,91388368,,,,998591101,DECOILEN,3,DE,5,0.0,0.0,1.0,,,,"565 Stewart Grove
Angelashire, ND 68754",PACKA,0.0,28497052,,4,5
3703,Lisa Martinez,Jacob Johnson,COILS,MGZN,S355M,S355MC,J7354,0.0,0.0,1520.0,10,0.0,1535.0,"10,05",30700,1,,53404-01,38254,26,38644826,69235,1312,815.0,2016.0,1535.0,1535.0,509415039,2020-01-13,2020-01-14,5114,,,,52,,,,214042,0.0,0.0,0.0,,,,"349 Christy Crescent Suite 998
Rachaelmouth, MN 82480",onbekend,,20689,,299,93444
3704,Leslie Richards,Daniel Washington MD,COILS,MGZN,S355M,S355MC,J7355,0.0,0.0,1520.0,10,0.0,1533.0,"9,95",31000,1,,53406-01,8,14500276,9883,69189,34,805.0,2015.0,1533.0,1533.0,4589736,2020-01-13,2020-01-14,59,,,,94689851,,,,89085,0.0,0.0,0.0,,,,"3991 Dawn Way Apt. 695
New Pamelaburgh, UT 43803",onbekend,,90,,99,183
3705,Dr. Steven Acosta III,Bethany Thompson,PLAAT,LC16,S355M,S355MC,J7358,2.0,3000.0,1500.0,8,3000.0,1500.0,"7,99","2574,7",9,,53414-01,74286,139233,62880300,39,293197,810.0,2020.0,1535.0,1535.0,32,2020-03-17,2020-03-18,9710,,,,29967490,DECOILEN,3,DE,5,0.0,0.0,1.0,,,,"0397 Sanchez Highway
Tammyside, MH 39775",PACKF,0.0,19,,5290885,4658227
3706,Karen Adams,Rachael Brown,PLAAT,LC16,S355M,S355MC,J7358,13.0,3000.0,1500.0,8,3000.0,1500.0,"7,99","572,14",2,,53414-01,68364262,22055119,381,20978,584346858,810.0,2020.0,1535.0,1535.0,72305,2020-03-17,2020-03-18,6,,,,917,DECOILEN,3,DE,872,0.0,0.0,1.0,,,,"96211 Duncan Park Apt. 254
West Wayneshire, FL 98655",PACKF,0.0,1698935,,4,810516
3707,Meghan Stanley,Joseph Smith,COILS,MGZN,S355M,S355MC,J7364,0.0,0.0,1520.0,6,0.0,1522.0,"6,06",30520,1,,53706-01,20,23002,73399543,34126268,959110,800.0,2010.0,1522.0,1522.0,385737,2020-01-13,2020-01-14,2,,,,7466,,,,4423418,0.0,0.0,0.0,,,,"59546 Rodney Harbor
Smithmouth, ME 39452",onbekend,,9372,,8,56
3708,Jose Stevens,Gerald Morris,PLAAT,LC22,S355M,S355MC,J7365,5.0,3000.0,1500.0,6,3000.0,1500.0,"5,97","2530,68",12,,53707-01,44627560,7295,618455099,3,8528643,809.0,2005.0,1526.0,1526.0,21,2020-02-19,2020-02-19,94896185,,,,667,DECOILEN,3,DE,9860345,0.0,0.0,1.0,,,,"73261 Scott Court
Hickmantown, NY 29268",PACKF,0.0,855375914,,7,931899069
3709,Dennis Anthony,Jessica Johnston,PLAAT,LC24,S355M,S355MC,J7365,8.0,3000.0,1500.0,6,3000.0,1500.0,"5,97","2530,68",12,,53707-01,4704,80,25756,2,924220,809.0,2005.0,1526.0,1526.0,3527898,2020-02-19,2020-04-01,62135259,,,,65336,DECOILEN,3,DE,501607,0.0,0.0,1.0,,,,"77684 Kristin Manors Suite 245
Port Camerontown, MO 27397",PACKF,0.0,928,,203775273,38
3710,Kristina Watson,Lauren Weaver,PLAAT,LC24,S355M,S355MC,J7365,9.0,3000.0,1500.0,6,3000.0,1500.0,"5,97","2530,68",12,,53707-01,14,1373,105,481,620252641,809.0,2005.0,1526.0,1526.0,4809295,2020-02-19,2020-04-01,22233440,,,,65,DECOILEN,3,DE,6710658,0.0,0.0,1.0,,,,"9821 Ryan Overpass Suite 806
New Kevin, IN 75729",PACKF,0.0,1065837,,3,690616
3711,Sara Thomas,Jamie Garcia,PLAAT,LC24,S355M,S355MC,J7365,10.0,3000.0,1500.0,6,3000.0,1500.0,"5,97","2530,68",12,,53707-01,480,30178644,8,1,66756557,809.0,2005.0,1526.0,1526.0,434,2020-02-19,2020-04-01,5,,,,56109452,DECOILEN,3,DE,2739142,0.0,0.0,1.0,,,,"03138 Lee Grove Suite 310
Bautistaberg, MI 32369",PACKF,0.0,98064,,78366,24
3712,April Johnson,Kathryn Miller,PLAAT,LC24,S355M,S355MC,J7365,11.0,3000.0,1500.0,6,3000.0,1500.0,"5,97","2530,68",12,,53707-01,309895,782539,238159,255949576,54211284,809.0,2005.0,1526.0,1526.0,9,2020-02-19,2020-04-01,66,,,,45813649,DECOILEN,3,DE,20,0.0,0.0,1.0,,,,"7836 Chris Harbors
East David, AZ 38585",PACKF,0.0,282971,,99977,870494605
3713,Thomas Whitehead,Ashley Diaz,PLAAT,LC11,S355M,S355MC,J7366,10.0,3000.0,1500.0,6,3000.0,1500.0,"6,04","2346,99",11,,53708-01,9,101,87,74912652,76449,808.0,2010.0,1535.0,1535.0,867,2020-02-10,2020-05-26,410531,,,,370869337,DECOILEN,3,DE,485,0.0,0.0,1.0,,,,"055 Kylie Summit
Tammyport, TN 13750",PACKA,0.0,384,,4,12957151
3714,Douglas Howard,Alicia Vargas,PLAAT,LC20,S355M,S355MC,J7366,11.0,3000.0,1500.0,6,3000.0,1500.0,"6,04","2346,99",11,,53708-01,863849,686131730,82009980,41440304,3,808.0,2010.0,1535.0,1535.0,59096123,2020-02-10,2020-03-19,77,,,,392120,DECOILEN,3,DE,3,0.0,0.0,1.0,,,,"67534 Rogers Skyway
Allisonport, TX 89110",PACKA,0.0,16675452,,844030,579
3715,Patricia Fox,Suzanne Payne,PLAAT,LC20,S355M,S355MC,J7366,12.0,3000.0,1500.0,6,3000.0,1500.0,"6,04","2346,99",11,,53708-01,6,83,1,3740482,93696,808.0,2010.0,1535.0,1535.0,4116,2020-02-10,2020-03-19,98,,,,835484,DECOILEN,3,DE,5435183,0.0,0.0,1.0,,,,"Unit 1287 Box 6245
DPO AA 57376",PACKA,0.0,386,,645,723891
3716,Melanie Stokes,Michael Oconnell,PLAAT,LA11,DD11,Ahnl S235JR,J7369,12.0,4000.0,1500.0,3,4000.0,1524.0,"2,94","2202,46",16,"2202,46",1298144,370670,995768585,829630,64305605,6,750.0,1945.0,1524.0,1524.0,69211668,2020-04-09,2020-05-19,5185,,,,71349,DECOILEN,3,DE,357723317,0.0,0.0,0.0,,BA41229/1,2020-04-14,"09935 Morton Springs
New Jackie, AK 75699",PACKA,0.0,64938,,141278741,487507
3717,Heidi Kline,Benjamin Graham,PLAAT,LA11,DD11,Ahnl S235JR,J7369,13.0,4000.0,1500.0,3,4000.0,1524.0,"2,94","4129,59",30,"4129,59",1298144,5427,9748,2704,6,4334711,750.0,1945.0,1524.0,1524.0,92,2020-04-09,2020-05-19,68,,,,3001561,DECOILEN,3,DE,358087,0.0,0.0,0.0,,BA41229/1,2020-04-14,"990 Judy Islands Apt. 325
North Diane, NY 03322",PACKA,0.0,286958244,,986396,36811
3718,Eric Green,Ashley Gibson DDS,PLAAT,LC45,22/37,s235jr,J7437,1.0,1700.0,1000.0,2,1700.0,1034.0,"1,93","2053,54",75,,1407095,47,230944,47484,6857860,2267734,760.0,2000.0,1034.0,1034.0,1455431,2020-04-02,2020-04-17,34012,,,,649,DECOILEN,3,DE,456734898,0.0,0.0,0.0,V,,,"1091 James Haven
New Joseph, PW 68586",PACKB,1.0,4322357,,370198182,3281
3719,Kevin Chapman,Christopher Flores,PLAAT,LC45,22/37,s235jr,J7437,2.0,1700.0,1000.0,2,1700.0,1034.0,"1,93","2053,54",75,,1407095,26010,32,95834,9616655,66838,760.0,2000.0,1034.0,1034.0,8,2020-04-02,2020-04-17,3,,,,1,DECOILEN,3,DE,314476014,0.0,0.0,0.0,,,,"642 Robin River
Lisaton, MI 88239",PACKB,1.0,644,,262353572,641
3720,Pam Leonard,Logan Robinson,PLAAT,LC45,22/37,s235jr,J7437,3.0,1700.0,1000.0,2,1700.0,1034.0,"1,93","2053,54",75,,1407095,17314,97795992,46909872,5835,8,760.0,2000.0,1034.0,1034.0,158,2020-04-02,2020-04-17,61975180,,,,972,DECOILEN,3,DE,65397226,0.0,0.0,0.0,,,,"844 Taylor Mission
New Todd, CA 91331",PACKB,1.0,71092499,,45,1640
3721,Jennifer Ramirez,Megan Moore,PLAAT,LC45,22/37,s235jr,J7437,4.0,1700.0,1000.0,2,1700.0,1034.0,"1,93","2053,54",75,,1407095,3,982051,86469,6194,371332,760.0,2000.0,1034.0,1034.0,795833,2020-04-02,2020-04-17,3804,,,,7,DECOILEN,3,DE,8,0.0,0.0,0.0,,,,"775 Wilson Mall Suite 276
Morrowmouth, MH 33973",PACKB,1.0,769,,63458,71
3722,Nancy Rivera,Brian Gonzalez,PLAAT,LA16,22/37,s235jr,J7437,9.0,2000.0,1000.0,2,2000.0,1034.0,"1,93","2415,93",75,,1407095,35,5311678,103,5,109,760.0,2000.0,1034.0,1034.0,3799523,2020-04-02,2020-04-06,53576330,,,,8,DECOILEN,3,DE,30161246,0.0,0.0,0.0,,,,"25194 Donald Ways Suite 465
Josephmouth, FL 69570",PACKA,1.0,4289478,,417,0
3723,Margaret Barrett,April Nelson,PLAAT,LA17,22/37,s235jr,J7437,10.0,2000.0,1000.0,2,2000.0,1034.0,"1,93","1030,79",32,,1407095,259,767580321,7,5359,630974319,760.0,2000.0,1034.0,1034.0,163,2020-04-02,2020-04-06,4041,,,,7578543,DECOILEN,3,DE,208334,0.0,0.0,0.0,,,,"51993 Harold Oval Apt. 456
Port Jennifer, FM 57778",PACKA,1.0,60,,8833,882
3724,James Taylor,Joseph Powell,COILS,BUFF,22/37,ov DD11/S235,J7438,0.0,0.0,1000.0,10,0.0,1019.0,"9,98",21000,1,,1391060,19956411,6,97,93069023,7574146,730.0,1980.0,1019.0,1019.0,0,2020-02-13,2020-06-05,62952,DECOILEN,P,DE,5,,,,49131,0.0,0.0,0.0,,,,"Unit 0321 Box 0490
DPO AE 53633",onbekend,,84261279,,4,95
3725,Victoria Rollins,Christopher Burton,PLAAT,NL07,22/37,S235JR GG,J7439,9.0,2000.0,1000.0,10,2000.0,1000.0,10,"629,62",4,"629,62",1398069,1065379,42054297,96,492348598,591911600,740.0,1963.0,1025.0,1025.0,862333,2020-03-26,2020-04-17,6,VERPAKKEN,3,BE+VP,7710467,VERPAKKEN,3,BE+VP,4,1.0,1.0,0.0,,22000541-01,2020-04-01,"32164 Mcbride Loop Suite 386
Lake Travisview, MP 26864",PACKI,0.0,5,,489563360,2
3726,Kristen Ponce,Victoria Nolan,COILS,G045,S235,ov S235,J7442,0.0,0.0,1000.0,10,0.0,1017.0,"10,01",22800,1,,1387110,50412,271856,63914523,10,55668,740.0,2060.0,1017.0,1017.0,667895,2020-02-13,2020-03-11,1,,,,48380659,,,,55,0.0,0.0,0.0,,,,"2702 Tom Courts Suite 809
Johnsonport, PA 98535",onbekend,,63374391,,27,53258335
3727,Lori Patton,Erika Price,PLAAT,LC18,OV22,S235JR,J7443,1.0,3000.0,1500.0,10,3000.0,1508.0,"9,99","2508,66",7,,1362049,2993,84,732,869,1,740.0,1915.0,1508.0,1508.0,92,2020-04-28,2020-04-28,61,,,,44,DECOILEN,3,DE,603,0.0,0.0,0.0,,,,"1209 Edwards Ways Suite 180
South Jessicabury, IA 23344",PACKA,1.0,6927,,1896663,819
3728,Nicolas Davis,Rick King,PLAAT,LC18,OV22,S235JR,J7443,12.0,3000.0,1500.0,10,3000.0,1508.0,"9,99","1075,14",3,,1362049,78,139315611,445216,169956542,0,740.0,1915.0,1508.0,1508.0,62,2020-04-28,2020-05-07,150062208,VERPAKKEN,P,BE+VP,7,VERPAKKEN,P,BE+VP,9,0.0,0.0,0.0,,,,"665 Wagner Square
Port Tiffanytown, WI 06710",PACKH,1.0,656699151,,5718945,70
3729,Rebecca Patterson,Alex Sutton,PLAAT,LA16,S235,s235jr,J7445,1.0,2000.0,1000.0,10,2000.0,1016.0,10,"2527,73",16,,1387111,53512753,331,644522967,478713,8142,738.0,1906.0,1016.0,1016.0,470,2020-05-27,2020-05-27,82,,,,115155733,DECOILEN,3,DE,515360,0.0,0.0,0.0,,,,"688 Kristin Freeway
East Christopher, NV 38057",PACKA,1.0,6398,,313015,923283130
3730,Jeff Matthews,Christopher Richardson,PLAAT,LA16,S235,s235jr,J7445,4.0,2000.0,1000.0,10,2000.0,1016.0,10,"2527,73",16,"2527,73",1387111,21,4373251,2994810,847954414,1,738.0,1906.0,1016.0,1016.0,229781203,2020-05-27,2020-05-27,449,,,,3462,DECOILEN,3,DE,796260,0.0,0.0,0.0,,22000931-01,2020-06-05,"233 Nicole Road
New Lauren, ND 78040",PACKA,1.0,316477533,,63,61
3731,James Khan,Kelly Richmond,PLAAT,LA16,S235,s235jr,J7445,5.0,2000.0,1000.0,10,2000.0,1016.0,10,"2527,73",16,"2527,73",1387111,766,83,2142845,845321,10240269,738.0,1906.0,1016.0,1016.0,56475,2020-05-27,2020-05-27,674,,,,777813,DECOILEN,3,DE,249447,0.0,0.0,0.0,,22000931-01,2020-06-05,"93555 Brown Glen Suite 478
Crawfordborough, DC 46208",PACKA,1.0,2,,797591,9722
3732,Kimberly Huff,Matthew Molina,PLAAT,LA16,S235,s235jr,J7445,6.0,2000.0,1000.0,10,2000.0,1016.0,10,"2527,73",16,,1387111,5567,51753647,7004,409127144,409059,738.0,1906.0,1016.0,1016.0,4015400,2020-05-27,2020-05-27,206269,,,,129975,DECOILEN,3,DE,12,0.0,0.0,0.0,,,,"Unit 1859 Box 7122
DPO AA 46654",PACKA,1.0,2,,334,384
3733,Nicholas Macdonald,Carol Scott,PLAAT,LA16,S235,s235jr,J7445,7.0,2000.0,1000.0,10,2000.0,1016.0,10,"1737,81",11,,1387111,393572,209,94519858,34,6242629,738.0,1906.0,1016.0,1016.0,93,2020-05-27,2020-05-27,5828047,,,,603,DECOILEN,3,DE,928406,0.0,0.0,0.0,,,,"049 Bailey Track
West Aprilland, HI 06335",PACKA,1.0,637953,,1465,5878308
3734,Christopher Robinson,Andrew Salas,PLAAT,LA18,OV22,s235jr,J7446,7.0,2000.0,1000.0,3,2000.0,1034.0,"3,02","2436,65",50,,1385001,931,82100049,62422250,3837,3709215,735.0,2000.0,1034.0,1034.0,28035,2020-03-03,2020-03-03,629800,,,,25167,DECOILEN,3,DE,31467435,0.0,0.0,0.0,,,,"Unit 2713 Box 9578
DPO AA 49435",PACKA,1.0,20736117,,685245771,4
3735,Susan Dennis,Sandy Coleman,PLAAT,NM,OV22,s235jr,J7446,9.0,2000.0,1000.0,3,2000.0,1000.0,3,"2046,8",42,,1385001,76053024,3576,834,6103,89229,735.0,2000.0,1034.0,1034.0,8432060,2020-03-03,2020-03-05,88,NARICHTEN,3,,87729053,NARICHTEN,3,,4898875,0.0,0.0,0.0,V,,,"1980 Vaughan Walk Suite 492
Lowestad, DC 84808",PACKA,1.0,2435218,,99408806,3947
3736,Michelle Payne,Claudia Shaffer,COILS,MGZN,S235,ov S235,J7458,0.0,0.0,1250.0,"7,95",0.0,1267.0,"8,1",26500,1,,1409044,673,591,99032172,47107040,972476,730.0,2006.0,1267.0,1267.0,138808810,2020-02-17,2020-02-19,629720,,,,6559393,,,,39336834,0.0,0.0,0.0,,,,"0323 Angela Haven
West Steve, KY 91021",onbekend,,6259502,,8473,1
3737,Michael Castaneda,Adam Moore,PLAAT,LD07,OV22,s235jr,J7464,1.0,4750.0,1500.0,6,4750.0,1500.0,"5,93","2681,19",8,,1385027,41,1,3039032,8941414,5999973,740.0,1738.0,1530.0,1530.0,7724892,2020-04-07,2020-04-14,544737,VERPAKKEN,3,DE+VP,64589,VERPAKKEN,3,DE+VP,13746968,0.0,0.0,1.0,,,,"5970 Matthew Divide
South Tricia, MO 33969",PACKA,0.0,4,,5880,546744521
3738,Haley Bennett,Dawn Lester,PLAAT,LD07,OV22,s235jr,J7464,2.0,4750.0,1500.0,6,4750.0,1500.0,"5,93","2681,19",8,,1385027,873035,2102364,104937,552662152,5133,740.0,1738.0,1530.0,1530.0,35648,2020-04-07,2020-04-14,7179,VERPAKKEN,3,DE+VP,918250601,VERPAKKEN,3,DE+VP,79277,0.0,0.0,1.0,,,,"8312 Robert Crest
Lake Ericview, ID 77280",PACKA,0.0,3184982,,956628896,11834
3739,Lisa Thomas,Ronnie Boyd,PLAAT,LD07,OV22,s235jr,J7464,3.0,4750.0,1500.0,6,4750.0,1500.0,"5,93","2681,19",8,,1385027,412944859,8380568,72418,15654841,798003,740.0,1738.0,1530.0,1530.0,4,2020-04-07,2020-04-14,6,VERPAKKEN,3,DE+VP,85171053,VERPAKKEN,3,DE+VP,7328907,0.0,0.0,1.0,,,,"9509 Garner Fields Suite 349
West Joseph, TN 07770",PACKA,0.0,4,,74343,8000
3740,Brian Mueller,Robert Barnes,PLAAT,LD07,OV22,s235jr,J7464,7.0,4750.0,1500.0,6,4750.0,1500.0,"5,93","2681,19",8,,1385027,68412746,60920757,6,627046,64716256,740.0,1738.0,1530.0,1530.0,676,2020-04-07,2020-04-14,69241,VERPAKKEN,3,DE+VP,6103,VERPAKKEN,3,DE+VP,642,0.0,0.0,1.0,,,,"3139 Kristine Heights Apt. 426
East Michael, MI 81035",PACKA,0.0,2,,94,2
3741,Tara Stevens,Margaret Walker,PLAAT,LD07,OV22,s235jr,J7464,8.0,4750.0,1500.0,6,4750.0,1500.0,"5,93","335,16",1,,1385027,64887013,63860345,5214535,61164214,9,740.0,1738.0,1530.0,1530.0,356930028,2020-04-07,2020-04-14,6058,VERPAKKEN,3,DE+VP,9925373,VERPAKKEN,3,DE+VP,248,0.0,0.0,1.0,,,,"2936 Jessica Drive Apt. 143
South Rachelmouth, MN 56548",PACKA,0.0,748082,,68,9
3742,Eric Adams,Thomas Lawrence,PLAAT,LC57,S235,S235JR,J7465,1.0,3000.0,1250.0,10,3000.0,1268.0,"9,94","2374,56",8,0,1391048,669279937,9063998,257,66882,5641783,740.0,1508.0,1268.0,1268.0,7,2020-02-19,2020-04-01,7088,,,,5,DECOILEN,3,DE,2949059,0.0,0.0,0.0,,,,"63250 Lloyd Park
Zunigahaven, HI 61084",PACKA,0.0,3783343,,923,11557990
3743,Kenneth Maldonado,Thomas Trevino,PLAAT,LC57,S235,S235JR,J7465,2.0,3000.0,1250.0,10,3000.0,1268.0,"9,94","2374,56",8,0,1391048,5,439373963,331656,76,79,740.0,1508.0,1268.0,1268.0,69,2020-02-19,2020-04-01,306746629,,,,782834724,DECOILEN,3,DE,2,0.0,0.0,0.0,,,,"687 Kayla Harbor Suite 069
Jeffersonton, ME 68851",PACKA,0.0,50496547,,7181,2
3744,Spencer Oconnor,Jerry Manning,PLAAT,LC57,S235,S235JR,J7465,3.0,3000.0,1250.0,10,3000.0,1268.0,"9,94","2374,56",8,0,1391048,903,173112816,8314,7036312,7,740.0,1508.0,1268.0,1268.0,6,2020-02-19,2020-04-01,1971,,,,6574575,DECOILEN,3,DE,7799,0.0,0.0,0.0,,,,"99262 Martin Light Apt. 615
South Michaelchester, VT 93084",PACKA,0.0,123099096,,527368,1
3745,Mr. Daniel Hammond,Jaclyn Gilmore,PLAAT,LC45,S235,S235JR,J7465,5.0,3000.0,1250.0,10,3000.0,1268.0,"9,94","2077,74",7,0,1391048,3214,67461,49,13601820,9,740.0,1508.0,1268.0,1268.0,92137,2020-02-19,2020-04-02,3008,,,,810398516,DECOILEN,3,DE,94661,0.0,0.0,0.0,,,,"29720 Vazquez Vista
Port Maureen, CA 87282",PACKA,0.0,712682344,,993,66762431
3746,Blake Kramer,Kristen King,COILS,MGZN,S235,ov S235,J7466,0.0,0.0,1250.0,"9,95",0.0,1266.0,"9,85",13300,1,,1391047,2,91514536,1414,85098685,18,740.0,1505.0,1266.0,1266.0,7645,2020-01-30,2020-01-30,15888031,,,,66,,,,15,0.0,0.0,0.0,,,,"PSC 3626, Box 6468
APO AA 57869",onbekend,,880316,,30884,8113692
3747,Rachel Carpenter,Stephanie Lee,COILS,MGZN,OV22,ov DD11,J7471,0.0,0.0,1500.0,"9,9",0.0,1512.0,"9,81",22000,1,,1429029,28015,44519711,1,83220,6,760.0,1723.0,1512.0,1512.0,273349925,2020-02-17,2020-02-19,915978066,,,,91,,,,545,0.0,0.0,0.0,,,,"9499 Lonnie Spur
Riveraport, MA 29536",onbekend,,769,,774698312,2846869
3748,Richard Johnson,Dr. Mackenzie Fox,COILS,MGZN,S235,ov S235,J7474,0.0,0.0,2000.0,4,0.0,2018.0,"3,98",20780,1,,1427027,72111183,45,46,6598,5,745.0,1525.0,2018.0,2018.0,1200,2020-02-17,2020-02-19,2465,,,,5593801,,,,7192751,0.0,0.0,0.0,,,,"286 Taylor Roads
West Samanthabury, VA 40448",onbekend,,170850,,5,0
3749,Destiny Day,Billy Mckay,PLAAT,LC45,OV22,s235jr,J7482,6.0,2010.0,1208.0,"5,7",2010.0,1208.0,"5,7","2532,85",23,,1428053,15742178,7387,39964,63,1472252,720.0,1990.0,1250.0,1250.0,609307,2020-06-02,2020-06-02,417,,,,8,DECOILEN,3,DE,532216,0.0,0.0,1.0,V,,,"6754 Jeremy Highway
Munozton, NC 42412",PACKA,1.0,652175,,8081,397
3750,Stacy Johnson,Robert Young,PLAAT,LC45,OV22,s235jr,J7482,7.0,2010.0,1208.0,"5,7",2010.0,1208.0,"5,7","2532,85",23,,1428053,97708478,57647565,9025,9612374,81671,720.0,1990.0,1250.0,1250.0,15836,2020-06-02,2020-06-02,6,,,,84,DECOILEN,3,DE,3281182,0.0,0.0,1.0,V,,,"90017 Cain Inlet
Waltonfurt, ID 08406",PACKA,1.0,209716309,,93737153,27455003
3751,Michael Sullivan,Debra Sullivan,PLAAT,LC45,OV22,s235jr,J7482,8.0,2010.0,1208.0,"5,7",2010.0,1208.0,"5,7","2532,85",23,,1428053,1821119,131212,73335,23451,7,720.0,1990.0,1250.0,1250.0,38420,2020-06-02,2020-06-02,234337,,,,4497372,DECOILEN,3,DE,34,0.0,0.0,1.0,V,,,"Unit 5508 Box 0513
DPO AA 41387",PACKA,1.0,37792178,,8542597,68946020
3752,Mr. David Carson,Melissa Holder,PLAAT,LC45,OV22,s235jr,J7482,9.0,2010.0,1208.0,"5,7",2010.0,1208.0,"5,7","2532,85",23,,1428053,928,4,64423204,8,4969,720.0,1990.0,1250.0,1250.0,539464,2020-06-02,2020-06-02,5,,,,125473,DECOILEN,3,DE,4263,0.0,0.0,1.0,V,,,"9427 David Grove Suite 165
Port Angela, MO 57276",PACKA,1.0,32,,70958255,601248
3753,Ruth Miller,Jason Mitchell,PLAAT,LC45,OV22,s235jr,J7482,10.0,2010.0,1208.0,"5,7",2010.0,1208.0,"5,7","2202,5",20,,1428053,6298923,42,62029744,201763,499,720.0,1990.0,1250.0,1250.0,9,2020-06-02,2020-06-02,4699813,,,,8961,DECOILEN,3,DE,48525,0.0,0.0,1.0,V,,,"70890 David Loop Apt. 916
Heidishire, MS 57657",PACKA,1.0,20398539,,16302050,3
